,Country,Code,Indicator,Year,Co2_per
264,Zambia,ZMB,Emisiones de CO2 (toneladas métricas per capita),1990,0.356577805
265,Zimbabwe,ZWE,Emisiones de CO2 (toneladas métricas per capita),1990,1.6349293
266,Aruba,ABW,Emisiones de CO2 (toneladas métricas per capita),1991,
267,,AFE,Emisiones de CO2 (toneladas métricas per capita),1991,0.942211641
268,Afganistan,AFG,Emisiones de CO2 (toneladas métricas per capita),1991,0.180673786
269,,AFW,Emisiones de CO2 (toneladas métricas per capita),1991,0.521084173
270,Angola,AGO,Emisiones de CO2 (toneladas métricas per capita),1991,0.545806579
271,Albania,ALB,Emisiones de CO2 (toneladas métricas per capita),1991,1.26105443
272,Andorra,AND,Emisiones de CO2 (toneladas métricas per capita),1991,7.336724754
273,El mundo arabe,ARB,Emisiones de CO2 (toneladas métricas per capita),1991,2.749432245
274,Emiratos Arabes Unidos,ARE,Emisiones de CO2 (toneladas métricas per capita),1991,30.65356558
275,Argentina,ARG,Emisiones de CO2 (toneladas métricas per capita),1991,3.199038186
276,Armenia,ARM,Emisiones de CO2 (toneladas métricas per capita),1991,5.71910181
277,Samoa Americana,ASM,Emisiones de CO2 (toneladas métricas per capita),1991,
278,Antigua y Barbuda,ATG,Emisiones de CO2 (toneladas métricas per capita),1991,3.479272087
279,Australia,AUS,Emisiones de CO2 (toneladas métricas per capita),1991,15.31527127
280,Austria,AUT,Emisiones de CO2 (toneladas métricas per capita),1991,8.049526421
281,Azerbaiyan,AZE,Emisiones de CO2 (toneladas métricas per capita),1991,7.159572566
282,Burundi,BDI,Emisiones de CO2 (toneladas métricas per capita),1991,0.041037901
283,Belgica,BEL,Emisiones de CO2 (toneladas métricas per capita),1991,11.39090004
284,Benin,BEN,Emisiones de CO2 (toneladas métricas per capita),1991,0.05167346
285,Burkina Faso,BFA,Emisiones de CO2 (toneladas métricas per capita),1991,0.06402519
286,Bangladesh,BGD,Emisiones de CO2 (toneladas métricas per capita),1991,0.099143894
287,Bulgaria,BGR,Emisiones de CO2 (toneladas métricas per capita),1991,6.814643075
288,Bahrein,BHR,Emisiones de CO2 (toneladas métricas per capita),1991,19.32431852
289,Bahamas,BHS,Emisiones de CO2 (toneladas métricas per capita),1991,7.55384738
290,Bosnia y Herzegovina,BIH,Emisiones de CO2 (toneladas métricas per capita),1991,4.762141673
291,Bielorrusia,BLR,Emisiones de CO2 (toneladas métricas per capita),1991,9.438623511
292,Belice,BLZ,Emisiones de CO2 (toneladas métricas per capita),1991,2.36831097
293,Bermudas,BMU,Emisiones de CO2 (toneladas métricas per capita),1991,
