Indicator,Code,Year,Pop
Poblacion Total,IRQ,1991,17846378
Poblacion Total,ISL,1991,257797
Poblacion Total,ISR,1991,4949000
Poblacion Total,ITA,1991,56758521
Poblacion Total,JAM,1991,2411867
Poblacion Total,JOR,1991,3666379
Poblacion Total,JPN,1991,123964000
Poblacion Total,KAZ,1991,16451711
Poblacion Total,KEN,1991,23918235
Poblacion Total,KGZ,1991,4463600
Poblacion Total,KHM,1991,9259362
Poblacion Total,KIR,1991,76612
Poblacion Total,KNA,1991,40542
Poblacion Total,KOR,1991,43295704
Poblacion Total,KWT,1991,1339500
Poblacion Total,LAC,1991,403768603
Poblacion Total,LAO,1991,4437225
Poblacion Total,LBN,1991,3666734
Poblacion Total,LBR,1991,1939236
Poblacion Total,LBY,1991,4341971
Poblacion Total,LCA,1991,144268
Poblacion Total,LCN,1991,449847635
Poblacion Total,LDC,1991,526535602
Poblacion Total,LIC,1991,296103521
Poblacion Total,LIE,1991,29168
Poblacion Total,LKA,1991,17416596
Poblacion Total,LMC,1991,1887004231
Poblacion Total,LMY,1991,4326435528
Poblacion Total,LSO,1991,1829509
Poblacion Total,LTE,1991,1871805819
Poblacion Total,LTU,1991,3704134
Poblacion Total,LUX,1991,387000
Poblacion Total,LVA,1991,2650581
Poblacion Total,MAC,1991,362390
Poblacion Total,MAF,1991,28736
Poblacion Total,MAR,1991,24988083
Poblacion Total,MCO,1991,30564
Poblacion Total,MDA,1991,2973210
Poblacion Total,MDG,1991,12245260
Poblacion Total,MDV,1991,232150
Poblacion Total,MEA,1991,263445808
Poblacion Total,MEX,1991,83351595
Poblacion Total,MHL,1991,47053
Poblacion Total,MIC,1991,4030332007
Poblacion Total,MKD,1991,2036686
Poblacion Total,MLI,1991,9123969
Poblacion Total,MLT,1991,363845
Poblacion Total,MMR,1991,40680533
Poblacion Total,MNA,1991,235243716
Poblacion Total,MNE,1991,607105
Poblacion Total,MNG,1991,2200077
Poblacion Total,MNP,1991,48302
Poblacion Total,MOZ,1991,13561175
Poblacion Total,MRT,1991,2066302
Poblacion Total,MUS,1991,1070266
Poblacion Total,MWI,1991,9831584
Poblacion Total,MYS,1991,18017464
Poblacion Total,NAC,1991,281077441
Poblacion Total,NAM,1991,1415617
Poblacion Total,NCL,1991,175362
Poblacion Total,NER,1991,8634640
Poblacion Total,NGA,1991,97685360
Poblacion Total,NIC,1991,4327289
Poblacion Total,NLD,1991,15069798
Poblacion Total,NOR,1991,4261732
Poblacion Total,NPL,1991,20130779
Poblacion Total,NRU,1991,9902
Poblacion Total,NZL,1991,3495100
Poblacion Total,OED,1991,1115756696
Poblacion Total,OMN,1991,1895187
Poblacion Total,OSS,1991,18240116
Poblacion Total,PAK,1991,119203569
Poblacion Total,PAN,1991,2502044
Poblacion Total,PER,1991,22583006
Poblacion Total,PHL,1991,63039751
Poblacion Total,PLW,1991,15640
Poblacion Total,PNG,1991,3990995
Poblacion Total,POL,1991,38246193
Poblacion Total,PRE,1991,427363888
Poblacion Total,PRI,1991,3562110
Poblacion Total,PRK,1991,21115534
Poblacion Total,PRT,1991,9960235
Poblacion Total,PRY,1991,4167996
Poblacion Total,PSE,1991,2068845
Poblacion Total,PSS,1991,1800161
Poblacion Total,PST,1991,971176019
Poblacion Total,PYF,1991,215444
Poblacion Total,QAT,1991,456486
Poblacion Total,ROU,1991,23001155
Poblacion Total,RUS,1991,148394216
Poblacion Total,RWA,1991,7485681
Poblacion Total,SAS,1991,1166480561
Poblacion Total,SAU,1991,16654276
Poblacion Total,SDN,1991,21453711
Poblacion Total,SEN,1991,7754289
Poblacion Total,SGP,1991,3135083
Poblacion Total,SLB,1991,333952
Poblacion Total,SLE,1991,4378169
Poblacion Total,SLV,1991,5461070
Poblacion Total,SMR,1991,23459
Poblacion Total,SOM,1991,6732702
Poblacion Total,SRB,1991,7595636
Poblacion Total,SSA,1991,530646532
Poblacion Total,SSD,1991,4867185
Poblacion Total,SSF,1991,530716971
Poblacion Total,SST,1991,26140490
Poblacion Total,STP,1991,123084
Poblacion Total,SUR,1991,415981
Poblacion Total,SVK,1991,5303294
Poblacion Total,SVN,1991,1999429
Poblacion Total,SWE,1991,8617375
Poblacion Total,SWZ,1991,889712
Poblacion Total,SXM,1991,29820
Poblacion Total,SYC,1991,70439
Poblacion Total,SYR,1991,12782281
Poblacion Total,TCA,1991,12329
Poblacion Total,TCD,1991,6042428
Poblacion Total,TEA,1991,1604798136
Poblacion Total,TEC,1991,430328718
Poblacion Total,TGO,1991,3990215
Poblacion Total,THA,1991,56099865
Poblacion Total,TJK,1991,5556306
Poblacion Total,TKM,1991,3821782
Poblacion Total,TLA,1991,434604864
Poblacion Total,TLS,1991,772655
Poblacion Total,TMN,1991,233174871
Poblacion Total,TON,1991,99010
Poblacion Total,TSA,1991,1166480561
Poblacion Total,TSS,1991,530716971
Poblacion Total,TTO,1991,1276224
Poblacion Total,TUN,1991,8622853
Poblacion Total,TUR,1991,55321172
Poblacion Total,TUV,1991,9354
